ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves
369,2025-08-29_18-43-45,villager,1,0
370,2025-08-29_18-43-45,villager,1,0
371,2025-08-29_18-43-45,werewolf,0,1
372,2025-08-29_18-43-45,villager,3,0
373,2025-08-29_18-43-45,werewolf,0,1
374,2025-08-29_18-43-45,villager,1,0
375,2025-08-29_18-43-45,werewolf,0,1
376,2025-08-29_18-43-46,werewolf,0,1
377,2025-08-29_18-43-46,werewolf,0,1
378,2025-08-29_18-43-46,werewolf,0,1
379,2025-08-29_18-43-46,villager,3,0
380,2025-08-29_18-43-46,werewolf,0,1
381,2025-08-29_18-43-46,werewolf,0,1
382,2025-08-29_18-43-46,villager,1,0
383,2025-08-29_18-43-46,villager,1,0
384,2025-08-29_18-43-46,villager,1,0
385,2025-08-29_18-43-46,villager,1,0
386,2025-08-29_18-43-46,villager,1,0
387,2025-08-29_18-43-46,villager,1,0
388,2025-08-29_18-43-46,werewolf,0,1
389,2025-08-29_18-43-46,villager,1,0
390,2025-08-29_18-43-46,villager,1,0
391,2025-08-29_18-43-46,villager,1,0
392,2025-08-29_18-43-46,werewolf,0,1
393,2025-08-29_18-43-46,villager,1,0
394,2025-08-29_18-43-46,villager,3,0
395,2025-08-29_18-43-46,werewolf,0,1
396,2025-08-29_18-43-46,werewolf,0,1
397,2025-08-29_18-43-46,villager,1,0
398,2025-08-29_18-43-46,werewolf,0,1
399,2025-08-29_18-43-46,werewolf,0,1
400,2025-08-29_18-43-46,villager,1,0
401,2025-08-29_18-43-46,villager,1,0
402,2025-08-29_18-43-46,villager,3,0
403,2025-08-29_18-43-46,werewolf,0,1
404,2025-08-29_18-43-46,werewolf,0,1
405,2025-08-29_18-43-46,werewolf,0,1
406,2025-08-29_18-43-46,werewolf,0,1
407,2025-08-29_18-43-46,villager,1,0
408,2025-08-29_18-43-46,villager,1,0
409,2025-08-29_18-43-47,werewolf,0,1
410,2025-08-29_18-43-47,villager,1,0
411,2025-08-29_18-43-47,villager,1,0
412,2025-08-29_18-43-47,werewolf,0,1
413,2025-08-29_18-43-47,villager,3,0
414,2025-08-29_18-43-47,werewolf,0,1
415,2025-08-29_18-43-47,villager,1,0
416,2025-08-29_18-43-47,villager,1,0
417,2025-08-29_18-43-47,villager,3,0
418,2025-08-29_18-43-47,werewolf,0,1
419,2025-08-29_18-43-47,villager,3,0
420,2025-08-29_18-43-47,werewolf,0,1
421,2025-08-29_18-43-47,villager,1,0
422,2025-08-29_18-43-47,villager,1,0
423,2025-08-29_18-43-47,villager,1,0
424,2025-08-29_18-43-47,werewolf,0,1
425,2025-08-29_18-43-47,villager,1,0
426,2025-08-29_18-43-47,villager,1,0
427,2025-08-29_18-43-47,villager,1,0
428,2025-08-29_18-43-47,werewolf,0,1
429,2025-08-29_18-43-47,werewolf,0,1
430,2025-08-29_18-43-47,villager,3,0
431,2025-08-29_18-43-47,villager,1,0
432,2025-08-29_18-43-47,villager,1,0
433,2025-08-29_18-43-47,villager,3,0
434,2025-08-29_18-43-47,villager,1,0
435,2025-08-29_18-43-47,villager,3,0
436,2025-08-29_18-43-47,villager,1,0
437,2025-08-29_18-43-47,villager,1,0
438,2025-08-29_18-43-47,villager,1,0
439,2025-08-29_18-43-47,villager,1,0
440,2025-08-29_18-43-47,villager,1,0
441,2025-08-29_18-43-47,villager,1,0
442,2025-08-29_18-43-47,werewolf,0,1
443,2025-08-29_18-43-47,villager,1,0
444,2025-08-29_18-43-48,villager,1,0
445,2025-08-29_18-43-48,villager,1,0
446,2025-08-29_18-43-48,werewolf,0,1
447,2025-08-29_18-43-48,villager,1,0
448,2025-08-29_18-43-48,werewolf,0,1
449,2025-08-29_18-43-48,villager,1,0
450,2025-08-29_18-43-48,werewolf,0,1
451,2025-08-29_18-43-48,werewolf,0,1
452,2025-08-29_18-43-48,werewolf,0,1
453,2025-08-29_18-43-48,villager,3,0
454,2025-08-29_18-43-48,villager,3,0
455,2025-08-29_18-43-48,werewolf,0,1
456,2025-08-29_18-43-48,villager,1,0
457,2025-08-29_18-43-48,werewolf,0,1
458,2025-08-29_18-43-48,villager,1,0
459,2025-08-29_18-43-48,villager,1,0
460,2025-08-29_18-43-48,werewolf,0,1
461,2025-08-29_18-43-48,villager,1,0
462,2025-08-29_18-43-48,werewolf,0,1
463,2025-08-29_18-43-48,villager,1,0
464,2025-08-29_18-43-48,werewolf,0,1
465,2025-08-29_18-43-48,werewolf,0,1
466,2025-08-29_18-43-48,werewolf,0,1
467,2025-08-29_18-43-48,villager,1,0
468,2025-08-29_18-43-48,villager,3,0
469,2025-08-29_18-43-48,villager,1,0
470,2025-08-29_18-43-48,werewolf,0,1
471,2025-08-29_18-43-48,villager,3,0
472,2025-08-29_18-43-48,villager,1,0
473,2025-08-29_18-43-48,werewolf,0,1
474,2025-08-29_18-43-48,werewolf,0,1
475,2025-08-29_18-43-48,villager,3,0
476,2025-08-29_18-43-48,werewolf,0,1
477,2025-08-29_18-43-48,villager,1,0
478,2025-08-29_18-43-48,villager,3,0
479,2025-08-29_18-43-48,villager,1,0
480,2025-08-29_18-43-48,villager,1,0
481,2025-08-29_18-43-48,villager,1,0
482,2025-08-29_18-43-48,werewolf,0,1
483,2025-08-29_18-43-48,villager,1,0
484,2025-08-29_18-43-49,werewolf,0,1
485,2025-08-29_18-43-49,werewolf,0,1
486,2025-08-29_18-43-49,werewolf,0,1
487,2025-08-29_18-43-49,villager,1,0
488,2025-08-29_18-43-49,werewolf,0,1
489,2025-08-29_18-43-49,villager,3,0
490,2025-08-29_18-43-49,villager,1,0
491,2025-08-29_18-43-49,villager,1,0
492,2025-08-29_18-43-49,villager,1,0
493,2025-08-29_18-43-49,villager,1,0
494,2025-08-29_18-43-49,villager,1,0
495,2025-08-29_18-43-49,werewolf,0,1
496,2025-08-29_18-43-49,villager,1,0
497,2025-08-29_18-43-49,werewolf,0,1
498,2025-08-29_18-43-49,werewolf,0,1
499,2025-08-29_18-43-49,villager,1,0
500,2025-08-29_18-43-49,werewolf,0,1
501,2025-08-29_18-43-49,werewolf,0,1
502,2025-08-29_18-43-49,villager,1,0
503,2025-08-29_18-43-49,villager,1,0
504,2025-08-29_18-43-49,werewolf,0,1
505,2025-08-29_18-43-49,villager,1,0
506,2025-08-29_18-43-49,werewolf,0,1
507,2025-08-29_18-43-49,villager,1,0
508,2025-08-29_18-43-49,villager,1,0
509,2025-08-29_18-43-49,villager,1,0
510,2025-08-29_18-43-49,villager,1,0
511,2025-08-29_18-43-49,werewolf,0,1
512,2025-08-29_18-43-49,werewolf,0,1
513,2025-08-29_18-43-49,villager,1,0
514,2025-08-29_18-43-49,werewolf,0,1
515,2025-08-29_18-43-49,villager,3,0
516,2025-08-29_18-43-49,villager,1,0
517,2025-08-29_18-43-49,werewolf,0,1
518,2025-08-29_18-43-49,villager,3,0
519,2025-08-29_18-43-49,villager,3,0
520,2025-08-29_18-43-49,villager,3,0
521,2025-08-29_18-43-50,villager,1,0
522,2025-08-29_18-43-50,werewolf,0,1
523,2025-08-29_18-43-50,villager,3,0
524,2025-08-29_18-43-50,villager,3,0
525,2025-08-29_18-43-50,werewolf,0,1
526,2025-08-29_18-43-50,villager,3,0
527,2025-08-29_18-43-50,villager,1,0
528,2025-08-29_18-43-50,werewolf,0,1
529,2025-08-29_18-43-50,villager,3,0
530,2025-08-29_18-43-50,werewolf,0,1
531,2025-08-29_18-43-50,werewolf,0,1
532,2025-08-29_18-43-50,werewolf,0,1
533,2025-08-29_18-43-50,werewolf,0,1
534,2025-08-29_18-43-50,werewolf,0,1
535,2025-08-29_18-43-50,werewolf,0,1
536,2025-08-29_18-43-50,villager,1,0
537,2025-08-29_18-43-50,villager,3,0
538,2025-08-29_18-43-50,villager,1,0
539,2025-08-29_18-43-50,villager,3,0
540,2025-08-29_18-43-50,villager,1,0
541,2025-08-29_18-43-50,villager,1,0
542,2025-08-29_18-43-50,werewolf,0,1
543,2025-08-29_18-43-50,villager,3,0
544,2025-08-29_18-43-50,werewolf,0,1
545,2025-08-29_18-43-50,villager,1,0
546,2025-08-29_18-43-50,villager,1,0
547,2025-08-29_18-43-50,villager,3,0
548,2025-08-29_18-43-50,werewolf,0,1
549,2025-08-29_18-43-50,werewolf,0,1
550,2025-08-29_18-43-50,villager,1,0
551,2025-08-29_18-43-50,villager,1,0
552,2025-08-29_18-43-50,villager,1,0
553,2025-08-29_18-43-50,villager,1,0
554,2025-08-29_18-43-50,villager,1,0
555,2025-08-29_18-43-50,werewolf,0,1
556,2025-08-29_18-43-51,villager,1,0
557,2025-08-29_18-43-51,werewolf,0,1
558,2025-08-29_18-43-51,villager,1,0
559,2025-08-29_18-43-51,werewolf,0,1
560,2025-08-29_18-43-51,werewolf,0,1
561,2025-08-29_18-43-51,werewolf,0,1
562,2025-08-29_18-43-51,villager,1,0
563,2025-08-29_18-43-51,villager,1,0
564,2025-08-29_18-43-51,werewolf,0,1
565,2025-08-29_18-43-51,werewolf,0,1
566,2025-08-29_18-43-51,villager,1,0
567,2025-08-29_18-43-51,villager,1,0
568,2025-08-29_18-43-51,werewolf,0,1
569,2025-08-29_18-43-51,villager,1,0
570,2025-08-29_18-43-51,werewolf,0,1
571,2025-08-29_18-43-51,villager,3,0
572,2025-08-29_18-43-51,villager,1,0
573,2025-08-29_18-43-51,werewolf,0,1
574,2025-08-29_18-43-51,villager,1,0
575,2025-08-29_18-43-51,werewolf,0,1
576,2025-08-29_18-43-51,villager,1,0
577,2025-08-29_18-43-51,villager,3,0
578,2025-08-29_18-43-51,werewolf,0,1
579,2025-08-29_18-43-51,villager,3,0
580,2025-08-29_18-43-51,villager,3,0
581,2025-08-29_18-43-51,werewolf,0,1
582,2025-08-29_18-43-51,villager,3,0
583,2025-08-29_18-43-51,villager,3,0
584,2025-08-29_18-43-51,villager,3,0
585,2025-08-29_18-43-51,werewolf,0,1
586,2025-08-29_18-43-51,werewolf,0,1
587,2025-08-29_18-43-51,werewolf,0,1
588,2025-08-29_18-43-51,villager,1,0
589,2025-08-29_18-43-51,werewolf,0,1
590,2025-08-29_18-43-51,villager,3,0
591,2025-08-29_18-43-51,villager,1,0
592,2025-08-29_18-43-52,werewolf,0,1
593,2025-08-29_18-43-52,villager,1,0
594,2025-08-29_18-43-52,villager,1,0
595,2025-08-29_18-43-52,villager,1,0
596,2025-08-29_18-43-52,villager,1,0
597,2025-08-29_18-43-52,werewolf,0,1
598,2025-08-29_18-43-52,werewolf,0,1
599,2025-08-29_18-43-52,villager,3,0
600,2025-08-29_18-43-52,werewolf,0,1
